cell_type	replicate	cell	vae_2	nmf_6	cell_class
ERY4	8	ERY4_8	7.908927775286057	170.46551213456348	Erythroid
ERY4	9	ERY4_9	8.484459024576868	265.49988998266673	Erythroid
ERY5	3	ERY5_3	3.2082828043079954	186.7576207289768	Erythroid
ERY5	5	ERY5_5	7.234805138811482	203.06438613360527	Erythroid
ERY5	6	ERY5_6	10.608085893385953	223.8757054764833	Erythroid
ERY5	7	ERY5_7	7.4852311767284085	183.93019677705925	Erythroid
ERY5	8	ERY5_8	11.884964595072926	219.42107926121764	Erythroid
ERY5	9	ERY5_9	13.314297437248175	237.3027128879791	Erythroid
GMP	4	GMP_4	19.931919327697827	266.9851402028696	Myeloid
GMP	5	GMP_5	18.167131311747482	251.70658505626255	Myeloid
GMP	7	GMP_7	25.968683688797036	264.0487554481268	Myeloid
GMP	9	GMP_9	12.823338156299744	214.1433232807565	Myeloid
GRAN1	2	GRAN1_2	17.530874536713718	285.00787309923373	Granulocytic
GRAN1	3	GRAN1_3	20.55680550611255	333.6772003572713	Granulocytic
GRAN1	4	GRAN1_4	12.579712713126296	244.1081983675284	Granulocytic
GRAN1	5	GRAN1_5	19.164549265253978	309.691158912273	Granulocytic
GRAN1	6	GRAN1_6	17.823446201128096	287.809749759841	Granulocytic
GRAN2	2	GRAN2_2	25.857868985243524	304.91920371850705	Granulocytic
GRAN2	4	GRAN2_4	30.52844483390051	319.80890881598503	Granulocytic
GRAN2	5	GRAN2_5	30.417000194580883	332.3460578086511	Granulocytic
GRAN2	6	GRAN2_6	30.49646489173802	337.62025028531656	Granulocytic
GRAN3	3	GRAN3_3	26.169216851918605	287.927562943753	Granulocytic
GRAN3	4	GRAN3_4	27.572182172017385	322.6146110814988	Granulocytic
GRAN3	5	GRAN3_5	31.729936472096075	357.9655508721726	Granulocytic
GRAN3	6	GRAN3_6	28.04140178917155	316.26268745791987	Granulocytic
HSC1	1	HSC1_1	15.61395675118095	264.20875921018154	HSC
HSC1	13	HSC1_13	15.324155259314098	271.453326459968	HSC
HSC1	14	HSC1_14	15.0391828100624	255.12749677384969	HSC
HSC1	2	HSC1_2	15.25839552732891	251.63642149191088	HSC
HSC1	3	HSC1_3	13.56838538327812	237.99757697283485	HSC
HSC1	4	HSC1_4	10.727782920816864	190.05152035324343	HSC
HSC1	6	HSC1_6	14.36590535144464	251.96496412810674	HSC
HSC1	7	HSC1_7	13.849488305910858	241.62963258760908	HSC
