variable	pval	odds	full_feature	tailed
iDC_HPCA_3	0.003358833260615871	668.125	vae_2_three	pos
naive-B-cells_BLUEPRINT_1	0.003358833260615871	668.125	vae_2_three	pos
Skeletal-muscle_ENCODE_1	0.003358833260615871	668.125	vae_2_three	pos
Neutrophils_BLUEPRINT_3	0.003358833260615871	668.125	vae_2_three	pos
Endothelial-cells_BLUEPRINT_1	0.003358833260615871	668.125	vae_2_three	pos
MSC_FANTOM_1	0.003358833260615871	668.125	vae_2_three	pos
Basophils_NOVERSHTERN_3	0.003358833260615871	668.125	vae_2_three	pos
Endothelial-cells_BLUEPRINT_2	0.003358833260615871	668.125	vae_2_three	pos
aDC_HPCA_1	0.003358833260615871	668.125	vae_2_three	pos
Smooth-muscle_HPCA_1	0.003358833260615871	668.125	vae_2_three	pos
NK-cells_FANTOM_2	0.003358833260615871	668.125	vae_2_three	pos
GMP_NOVERSHTERN_3	0.003358833260615871	668.125	vae_2_three	pos
Megakaryocytes_BLUEPRINT_3	0.003358833260615871	668.125	vae_2_three	pos
Skeletal-muscle_ENCODE_3	0.003358833260615871	668.125	vae_2_three	pos
DC_HPCA_3	0.003358833260615871	668.125	vae_2_three	pos
Basophils_FANTOM_3	0.003358833260615871	668.125	vae_2_three	pos
Neutrophils_BLUEPRINT_2	0.003358833260615871	668.125	vae_2_three	pos
GMP_NOVERSHTERN_2	0.003358833260615871	668.125	vae_2_three	pos
DC_IRIS_1	0.003358833260615871	668.125	vae_2_three	pos
Pericytes_FANTOM_3	0.003358833260615871	668.125	vae_2_three	pos
Megakaryocytes_NOVERSHTERN_3	0.003358833260615871	668.125	vae_2_three	pos
Adipocytes_FANTOM_2	0.003358833260615871	668.125	vae_2_three	pos
Erythrocytes_HPCA_1	0.003358833260615871	668.125	vae_2_three	pos
NK-cells_NOVERSHTERN_1	0.003358833260615871	668.125	vae_2_three	pos
Neutrophils_IRIS_1	0.003358833260615871	668.125	vae_2_three	pos
Endothelial-cells_HPCA_2	0.003358833260615871	668.125	vae_2_three	pos
B-cells_HPCA_3	0.003358833260615871	668.125	vae_2_three	pos
HSC_NOVERSHTERN_2	0.003358833260615871	668.125	vae_2_three	pos
NK-cells_FANTOM_3	0.003358833260615871	668.125	vae_2_three	pos
DC_BLUEPRINT_3	0.003358833260615871	668.125	vae_2_three	pos
NK-cells_IRIS_3	0.003358833260615871	668.125	vae_2_three	pos
Macrophages-M2_HPCA_3	0.003358833260615871	668.125	vae_2_three	pos
Erythrocytes_FANTOM_2	0.003532853597139096	11.543529411764705	vae_0_two	pos
Epithelial-cells_HPCA_1	0.0037316881677395075	593.7777777777778	vae_2_three	pos
CD4+-naive-T-cells_NOVERSHTERN_2	0.0037316881677395075	593.7777777777778	vae_2_three	pos
CD8+-T-cells_IRIS_2	0.0037316881677395075	593.7777777777778	vae_2_three	pos
Epithelial-cells_HPCA_2	0.0037316881677395075	593.7777777777778	vae_2_three	pos
naive-B-cells_BLUEPRINT_3	0.0037316881677395075	593.7777777777778	vae_2_three	pos
Megakaryocytes_BLUEPRINT_2	0.0037316881677395075	593.7777777777778	vae_2_three	pos
Tregs_BLUEPRINT_2	0.0037316881677395075	593.7777777777778	vae_2_three	pos
Tregs_FANTOM_1	0.0037316881677395075	593.7777777777778	vae_2_three	pos
ly-Endothelial-cells_HPCA_2	0.0037316881677395075	593.7777777777778	vae_2_three	pos
Neutrophils_HPCA_2	0.0037316881677395075	593.7777777777778	vae_2_three	pos
Preadipocytes_FANTOM_2	0.0037316881677395075	593.7777777777778	vae_2_three	pos
MEP_HPCA_3	0.0037316881677395075	593.7777777777778	vae_2_three	pos
Neutrophils_BLUEPRINT_1	0.0037316881677395075	593.7777777777778	vae_2_three	pos
DC_BLUEPRINT_2	0.0037316881677395075	593.7777777777778	vae_2_three	pos
Plasma-cells_IRIS_1	0.0037316881677395075	593.7777777777778	vae_2_three	pos
MPP_NOVERSHTERN_1	0.0037316881677395075	593.7777777777778	vae_2_three	pos
pDC_NOVERSHTERN_1	0.0037316881677395075	593.7777777777778	vae_2_three	pos
Neutrophils_HPCA_1	0.0037316881677395075	593.7777777777778	vae_2_three	pos
CD8+-Tcm_BLUEPRINT_1	0.0037316881677395075	593.7777777777778	vae_2_three	pos
Neurons_ENCODE_1	0.0037316881677395075	593.7777777777778	vae_2_three	pos
CD4+-naive-T-cells_FANTOM_3	0.0037316881677395075	593.7777777777778	vae_2_three	pos
