	model_type	index	variable	value	z_score
1709	real	vae_1_two	MEP_NOVERSHTERN_3	-0.34672677726484835	-1.2304642463897126
1491	real	vae_1_two	Basophils_FANTOM_1	-1.6312246154993773	-1.226536445256827
2156	real	vae_2	Fibroblasts_HPCA_3	-6.704836864490062	-1.2242185965947583
1224	real	vae_1_three	MPP_ENCODE_1	-1.0772367813624442	-1.220736429192884
1559	real	vae_1_two	CD8+-Tcm_BLUEPRINT_3	-0.5996297970414162	-1.2171779355007428
1939	real	vae_1_two	naive-B-cells_HPCA_2	-0.38166715018451214	-1.2119268345284109
2357	real	vae_2	Preadipocytes_FANTOM_3	-1.405686503276229	-1.2102952730440488
1650	real	vae_1_two	Erythrocytes_FANTOM_1	-0.651323102414608	-1.2099926226248328
39	real	vae_0_three	CD4+-Tcm_BLUEPRINT_1	-2.1459020394831896	-1.199359030280957
1457	real	vae_1_three	pDC_FANTOM_3	-0.7120318175293505	-1.1952262903888198
2406	real	vae_2	iDC_HPCA_1	-0.8994995951652527	-1.1905208975769022
880	real	vae_0_two	Plasma-cells_IRIS_2	-1.9257911634631455	-1.1893014538648823
1647	real	vae_1_two	Erythrocytes_BLUEPRINT_1	-0.5994028298882768	-1.1883767440244635
2140	real	vae_2	Erythrocytes_FANTOM_2	-0.8420612514019012	-1.1883638333614008
242	real	vae_0_three	MEP_NOVERSHTERN_3	-1.1501534460112453	-1.1859963496200008
941	real	vae_0_two	iDC_HPCA_3	-0.40522389858961105	-1.1823758361104473
17	real	vae_0_three	B-cells_FANTOM_3	-0.7570858374238014	-1.1799935929277323
274	real	vae_0_three	Macrophages_BLUEPRINT_2	-2.817622917587869	-1.1788581157146327
537	real	vae_0_two	CD4+-Tem_BLUEPRINT_1	-0.3592614121735096	-1.1749885719027482
376	real	vae_0_three	Osteoblast_HPCA_2	-0.6687082201242447	-1.1746198789124334
630	real	vae_0_two	DC_FANTOM_1	-0.7938892170786858	-1.1658416482254321
569	real	vae_0_two	CD8+-T-cells_FANTOM_3	-2.4423485225997865	-1.1648483937437948
1918	real	vae_1_two	iDC_HPCA_2	-0.02899496257305144	-1.1639373383210194
94	real	vae_0_three	CD8+-Tcm_HPCA_2	-0.5175620457157493	-1.1550284859677395
457	real	vae_0_three	ly-Endothelial-cells_HPCA_2	-0.37735379859805107	-1.1542425413846282
763	real	vae_0_two	Macrophages_BLUEPRINT_2	-3.934973315364914	-1.152828950523656
1635	real	vae_1_two	Eosinophils_NOVERSHTERN_1	-0.49072661250829697	-1.1481107172418192
1535	real	vae_1_two	CD4+-naive-T-cells_HPCA_3	-0.189994047395885	-1.145879109358253
131	real	vae_0_three	Chondrocytes_HPCA_3	-0.8829807639122009	-1.1448274855412446
1562	real	vae_1_two	CD8+-Tcm_HPCA_3	-1.242059675976634	-1.1443287672458686
1941	real	vae_1_two	naive-B-cells_NOVERSHTERN_1	-0.3932686373591423	-1.143605098917886
1280	real	vae_1_three	Memory-B-cells_BLUEPRINT_3	-2.65508571267128	-1.1416767092429818
66	real	vae_0_three	CD4+-naive-T-cells_HPCA_1	-1.1089812964200974	-1.1410171112171483
733	real	vae_0_two	MPP_BLUEPRINT_2	-3.5551854111254215	-1.1194058332719843
1256	real	vae_1_three	Macrophages_FANTOM_3	-2.9321765755303204	-1.1167818022212839
1183	real	vae_1_three	GMP_HPCA_2	-1.6222180621698499	-1.1130639560792517
296	real	vae_0_three	Melanocytes_ENCODE_3	-0.5087704826146364	-1.1096315649910695
1055	real	vae_1_three	CD8+-T-cells_BLUEPRINT_3	-1.3879148564301431	-1.107195419902401
2433	real	vae_2	pDC_FANTOM_1	-0.6268266923725605	-1.1060612561581795
2356	real	vae_2	Preadipocytes_FANTOM_2	-0.6555079706013203	-1.1015651859397833
902	real	vae_0_two	Smooth-muscle_ENCODE_3	-2.478934448212385	-1.1004471221763734
48	real	vae_0_three	CD4+-Tem_BLUEPRINT_1	-0.3575054630637169	-1.0969210833435514
788	real	vae_0_two	Melanocytes_FANTOM_3	-7.647499443090055	-1.0957631592629486
637	real	vae_0_two	DC_IRIS_2	-1.6258074063807726	-1.0904341467288428
1166	real	vae_1_three	Erythrocytes_HPCA_3	-1.2848610607907176	-1.0883505516190288
1420	real	vae_1_three	aDC_IRIS_2	-5.380810653849039	-1.0823297101102045
1796	real	vae_1_two	Monocytes_NOVERSHTERN_3	-0.7335872314870358	-1.081234891860745
1402	real	vae_1_three	Th1-cells_IRIS_2	-0.6018532961606979	-1.0803825846638062
1551	real	vae_1_two	CD8+-T-cells_IRIS_1	-0.25143150985240936	-1.0783312585387663
692	real	vae_0_two	GMP_BLUEPRINT_3	-2.5079914731904864	-1.0706337393862433
744	real	vae_0_two	MSC_FANTOM_1	-0.35990840941667557	-1.0700621036059639
618	real	vae_0_two	Chondrocytes_HPCA_1	-0.7313139792531729	-1.067858128107076
624	real	vae_0_two	Class-switched-memory-B-cells_NOVERSHTERN_1	-0.6916717886924744	-1.0677923964311193
583	real	vae_0_two	CD8+-Tcm_HPCA_2	-0.5763112660497427	-1.0616595398257331
1975	real	vae_2	B-cells_HPCA_2	-0.9923364333808422	-1.0585527047130634
1984	real	vae_2	Basophils_NOVERSHTERN_2	-0.4922121427953243	-1.054163246977401
1810	real	vae_1_two	NK-cells_HPCA_2	-0.6004861239343882	-1.0516146172447691
111	real	vae_0_three	CLP_BLUEPRINT_1	-0.373003588989377	-1.0507035312717425
1082	real	vae_1_three	CD8+-Tem_HPCA_3	-1.4286358458921313	-1.0482611457439377
137	real	vae_0_three	Class-switched-memory-B-cells_NOVERSHTERN_3	-0.48499224334955215	-1.0463088404325682
108	real	vae_0_three	CD8+-naive-T-cells_HPCA_1	-1.9177215814124793	-1.0455269984303555
557	real	vae_0_two	CD4+-naive-T-cells_HPCA_3	-0.9427671879529953	-1.045330211254445
1586	real	vae_1_two	CMP_HPCA_3	-0.2681793086230755	-1.0436896414759003
93	real	vae_0_three	CD8+-Tcm_HPCA_1	-1.1551934666931631	-1.0428593103092882
945	real	vae_0_two	ly-Endothelial-cells_HPCA_1	-0.6317510828375816	-1.0410158705557493
2113	real	vae_2	Endothelial-cells_FANTOM_2	-0.9287672564387321	-1.0400362702374213
155	real	vae_0_three	Endothelial-cells_ENCODE_3	-1.2776539213955402	-1.0395727063195377
58	real	vae_0_three	CD4+-memory-T-cells_FANTOM_2	-0.41392726823687553	-1.0377393508696384
747	real	vae_0_two	MSC_HPCA_1	-2.261353576555848	-1.0336790430155303
2422	real	vae_2	mv-Endothelial-cells_HPCA_2	-1.938218561699614	-1.0324345192844506
2020	real	vae_2	CD4+-naive-T-cells_FANTOM_2	-3.1644682661863044	-1.0274250207358473
423	real	vae_0_three	Th1-cells_IRIS_1	-0.9721590727567673	-1.0223140419787469
942	real	vae_0_two	ly-Endothelial-cells_FANTOM_1	-0.4389430955052376	-1.022190808144097
1446	real	vae_1_three	naive-B-cells_BLUEPRINT_1	-0.6707068979740143	-1.0180658888472094
2308	real	vae_2	NKT_NOVERSHTERN_2	-0.7405030969530344	-1.0177171710163189
2413	real	vae_2	ly-Endothelial-cells_HPCA_2	-0.8030877932906151	-1.015169581772319
793	real	vae_0_two	Memory-B-cells_HPCA_2	-1.4148074444383383	-1.0111359937236015
2178	real	vae_2	Hepatocytes_HPCA_1	-7.836729233182268	-1.0104570716494552
439	real	vae_0_three	aDC_HPCA_2	-0.6249883286654949	-1.0100520007050784
2370	real	vae_2	Smooth-muscle_FANTOM_1	-7.824947125511244	-1.0090867705714324
764	real	vae_0_two	Macrophages_BLUEPRINT_3	-3.38270702958107	-1.0076616678569537
245	real	vae_0_three	MPP_BLUEPRINT_3	-2.3040680438280106	-0.9983313421880715
112	real	vae_0_three	CLP_BLUEPRINT_2	-0.5965344440191984	-0.9960030256894885
646	real	vae_0_two	Endothelial-cells_FANTOM_2	-0.6085103116929531	-0.9957194781826763
2247	real	vae_2	Megakaryocytes_NOVERSHTERN_1	-0.38701964914798737	-0.9881897075000551
2418	real	vae_2	mv-Endothelial-cells_FANTOM_1	-5.179984595510177	-0.9800524162780344
2261	real	vae_2	Memory-B-cells_HPCA_3	-1.0368529967963696	-0.9764575896683845
113	real	vae_0_three	CLP_BLUEPRINT_3	-1.1086770843248814	-0.9755527599479775
2401	real	vae_2	cDC_HPCA_2	-0.4625550918281079	-0.9747707900025215
1534	real	vae_1_two	CD4+-naive-T-cells_HPCA_2	-0.07925580721348524	-0.9739375026368997
450	real	vae_0_three	iDC_HPCA_1	-0.3970548063516617	-0.9703430859111366
1282	real	vae_1_three	Memory-B-cells_HPCA_2	-2.6825486719608307	-0.9671245739448607
2429	real	vae_2	naive-B-cells_HPCA_3	-1.9059066362679005	-0.9656540212127649
1097	real	vae_1_three	CMP_HPCA_3	-0.4503827467560768	-0.9629118947371093
1461	real	vae_1_three	pro-B-cells_HPCA_1	-2.222564650932327	-0.9596944790607489
418	real	vae_0_three	Smooth-muscle_HPCA_2	-0.5706350617110729	-0.9560861553877652
1455	real	vae_1_three	pDC_FANTOM_1	-0.8195222956128418	-0.9500445532731744
1599	real	vae_1_two	Class-switched-memory-B-cells_BLUEPRINT_1	-0.21513349749147892	-0.949607100961143
820	real	vae_0_two	Myocytes_ENCODE_2	-0.7930360436439514	-0.9450456618216838
1658	real	vae_1_two	Erythrocytes_NOVERSHTERN_3	-1.5132979641202837	-0.9419264745445621
864	real	vae_0_two	Osteoblast_HPCA_1	-1.632551310583949	-0.9412226128783794
954	real	vae_0_two	mv-Endothelial-cells_HPCA_1	-0.9374450519680977	-0.9392190505617461
573	real	vae_0_two	CD8+-T-cells_IRIS_1	-0.5566366924904287	-0.9383497616493768
2170	real	vae_2	HSC_FANTOM_2	-0.21174001414328814	-0.9375823673924977
2171	real	vae_2	HSC_FANTOM_3	-0.4180324347689748	-0.9375234966391488
1160	real	vae_1_three	Erythrocytes_BLUEPRINT_3	-1.2848610607907176	-0.9374184367225931
775	real	vae_0_two	Mast-cells_FANTOM_2	-4.245102701941505	-0.9373461724280693
530	real	vae_0_two	CD4+-Tcm_BLUEPRINT_3	-3.7624916285276413	-0.9322221382006729
304	real	vae_0_three	Memory-B-cells_HPCA_2	-0.919917531311512	-0.9271185487060954
1857	real	vae_1_two	Plasma-cells_IRIS_1	0.0063114776276052	-0.9257559093684355
79	real	vae_0_three	CD8+-T-cells_FANTOM_2	-0.4894359484314919	-0.9185721537756509
1519	real	vae_1_two	CD4+-Tem_HPCA_2	-0.9163887090981007	-0.9164991185970655
2137	real	vae_2	Erythrocytes_BLUEPRINT_2	-0.6192248719744384	-0.9139455410956208
1319	real	vae_1_three	NK-cells_FANTOM_3	-0.7450357526540756	-0.9108853005642517
2427	real	vae_2	naive-B-cells_HPCA_1	-1.6833175960928202	-0.9081191612174276
731	real	vae_0_two	MEP_NOVERSHTERN_3	-1.2396317278034985	-0.9076053173941557
2123	real	vae_2	Eosinophils_FANTOM_3	-1.9770183367654681	-0.9045718458753055
723	real	vae_0_two	MEP_BLUEPRINT_1	-0.7863981267437339	-0.8943863571206763
1792	real	vae_1_two	Monocytes_IRIS_2	-0.8394600488245487	-0.8917836420096898
399	real	vae_0_three	Preadipocytes_FANTOM_1	-0.655208570882678	-0.8877798344267755
210	real	vae_0_three	HSC_BLUEPRINT_1	-0.4400603277608752	-0.8865027841363843
613	real	vae_0_two	Chondrocytes_ENCODE_2	-1.2204978298395872	-0.8853691519188444
73	real	vae_0_three	CD4+-naive-T-cells_NOVERSHTERN_2	-0.4870408996939659	-0.8811302555808913
467	real	vae_0_three	mv-Endothelial-cells_HPCA_3	-0.8987453058362007	-0.8805219851210498
1542	real	vae_1_two	CD8+-T-cells_BLUEPRINT_1	-0.6940846252255142	-0.8800659799112699
1636	real	vae_1_two	Eosinophils_NOVERSHTERN_2	-0.3218728412175551	-0.8776257424851592
1377	real	vae_1_three	Preadipocytes_FANTOM_1	-0.8693849053233862	-0.8773051764035735
1516	real	vae_1_two	CD4+-Tem_BLUEPRINT_2	-0.03686792775988579	-0.8765718322588167
568	real	vae_0_two	CD8+-T-cells_FANTOM_2	-0.4403802715241909	-0.8760579696955162
1083	real	vae_1_three	CD8+-Tem_NOVERSHTERN_1	-1.4902404006570578	-0.8752347681510905
1006	real	vae_1_three	Basophils_NOVERSHTERN_2	-0.5638683764263988	-0.871319666922583
582	real	vae_0_two	CD8+-Tcm_HPCA_1	-1.1970381177961826	-0.8686096394689155
774	real	vae_0_two	Mast-cells_FANTOM_1	-4.717306034872308	-0.8682418425114725
1001	real	vae_1_three	B-cells_NOVERSHTERN_3	-2.2346013821661472	-0.8669126343798369
1603	real	vae_1_two	Class-switched-memory-B-cells_NOVERSHTERN_2	-0.29624534398317337	-0.8653114955685864
1671	real	vae_1_two	GMP_HPCA_1	-0.7886463557370007	-0.8640550951970408
994	real	vae_1_three	B-cells_FANTOM_2	-1.309659156948328	-0.8631573812272989
472	real	vae_0_three	naive-B-cells_HPCA_2	-1.0456354096531868	-0.8607082868494345
644	real	vae_0_two	Endothelial-cells_ENCODE_3	-1.4442255347967148	-0.8574411228160876
951	real	vae_0_two	mv-Endothelial-cells_FANTOM_1	-4.469968414865434	-0.8560458914503837
1084	real	vae_1_three	CD8+-Tem_NOVERSHTERN_2	-1.4579364266246557	-0.8548271774503144
1501	real	vae_1_two	CD4+-T-cells_FANTOM_2	-0.09867294877767563	-0.8545718447449585
1715	real	vae_1_two	MPP_ENCODE_3	0.0	-0.8540168222726403
1453	real	vae_1_three	naive-B-cells_NOVERSHTERN_2	-1.5652456860989332	-0.8530008582582933
2240	real	vae_2	Macrophages_IRIS_3	-1.4187957234680653	-0.851258392721034
451	real	vae_0_three	iDC_HPCA_2	-0.4072537273168564	-0.849503904959789
1631	real	vae_1_two	Eosinophils_BLUEPRINT_3	-0.9291223790496588	-0.8476111078380898
1401	real	vae_1_three	Th1-cells_IRIS_1	-0.7942503516096622	-0.8428897893351898
1490	real	vae_1_two	B-cells_NOVERSHTERN_3	-0.2109435256570578	-0.8426043914713626
1938	real	vae_1_two	naive-B-cells_HPCA_1	-0.38166715018451214	-0.8414525383878911
1085	real	vae_1_three	CD8+-Tem_NOVERSHTERN_3	-1.47754698805511	-0.8402818743285227
10	real	vae_0_three	Astrocytes_ENCODE_2	-1.9188643964007497	-0.8385082766230106
198	real	vae_0_three	Fibroblasts_HPCA_1	-1.714890300296247	-0.8358494372316791
776	real	vae_0_two	Mast-cells_FANTOM_3	-2.942627109820023	-0.833811346117523
2361	real	vae_2	Skeletal-muscle_ENCODE_1	-0.7636721655726433	-0.8311471615527075
465	real	vae_0_three	mv-Endothelial-cells_HPCA_1	-0.7515268288552761	-0.8280471205636998
311	real	vae_0_three	Mesangial-cells_ENCODE_3	-2.926165215205401	-0.8271311954979021
1073	real	vae_1_three	CD8+-Tcm_HPCA_3	-2.469439284177497	-0.8271106179045791
639	real	vae_0_two	Endothelial-cells_BLUEPRINT_1	-0.41841883212327957	-0.8239958987044378
1371	real	vae_1_three	Platelets_HPCA_1	-3.2586573417065665	-0.8234376818118916
520	real	vae_0_two	CD4+-T-cells_BLUEPRINT_2	-2.5926290010102093	-0.8225470265511525
1400	real	vae_1_three	Tgd-cells_HPCA_3	-5.178399878612254	-0.8221924789046838
1912	real	vae_1_two	cDC_HPCA_2	-0.05184053629636763	-0.8167095410835064
700	real	vae_0_two	HSC_BLUEPRINT_2	-0.9337698658928275	-0.8145368529457836
2138	real	vae_2	Erythrocytes_BLUEPRINT_3	-0.6192248719744384	-0.8144303148928734
280	real	vae_0_three	Macrophages_HPCA_2	-2.3596618540468626	-0.8144277300958858
1235	real	vae_1_three	MSC_FANTOM_3	-0.9841451885440617	-0.8100328748706923
1772	real	vae_1_two	Memory-B-cells_HPCA_3	-0.4253469444811344	-0.80794082061308
1143	real	vae_1_three	Eosinophils_FANTOM_1	-2.4719245097367093	-0.8052498246298004
1903	real	vae_1_two	Tregs_HPCA_2	0.0	-0.8046654441316627
1513	real	vae_1_two	CD4+-Tcm_NOVERSHTERN_2	-0.5441993214190006	-0.7967167257556441
1672	real	vae_1_two	GMP_HPCA_2	-0.4172824500128627	-0.7963808443429676
40	real	vae_0_three	CD4+-Tcm_BLUEPRINT_2	-1.6262958347797394	-0.7948223849424758
1416	real	vae_1_three	aDC_HPCA_1	-0.41523924469947815	-0.7946345159832356
1655	real	vae_1_two	Erythrocytes_HPCA_3	-0.5994028298882768	-0.7935498556717967
904	real	vae_0_two	Smooth-muscle_FANTOM_2	-1.2692105378955603	-0.7907127273140077
2306	real	vae_2	NK-cells_NOVERSHTERN_3	-0.604910597205162	-0.7890490793533704
162	real	vae_0_three	Eosinophils_BLUEPRINT_1	-0.6245317310094833	-0.7856000916562497
996	real	vae_1_three	B-cells_HPCA_1	-1.7509363945573568	-0.7818542440364303
95	real	vae_0_three	CD8+-Tcm_HPCA_3	-1.7217366201803088	-0.77982238249182
234	real	vae_0_three	MEP_BLUEPRINT_1	-0.588496926240623	-0.7779596729968792
388	real	vae_0_three	Plasma-cells_HPCA_2	-1.792069397866726	-0.7720562787102401
1465	real	vae_1_three	pro-B-cells_NOVERSHTERN_2	-0.9583259075880051	-0.7703377430737447
1383	real	vae_1_three	Skeletal-muscle_ENCODE_1	-0.39099779911339283	-0.7701938952882241
900	real	vae_0_two	Smooth-muscle_ENCODE_1	-0.41460794769227505	-0.7683087991937629
387	real	vae_0_three	Plasma-cells_HPCA_1	-0.7514016777276993	-0.7671181459550975
1790	real	vae_1_two	Monocytes_HPCA_3	-0.6746268111746757	-0.7642098034931909
372	real	vae_0_three	Osteoblast_FANTOM_1	-1.4167221281677485	-0.7628189779718139
1570	real	vae_1_two	CD8+-Tem_HPCA_2	-1.2826247711200265	-0.7623140849454917
1806	real	vae_1_two	NK-cells_FANTOM_1	-0.30927249416708946	-0.7555138553965906
135	real	vae_0_three	Class-switched-memory-B-cells_NOVERSHTERN_1	-0.48499224334955215	-0.7547814681764459
727	real	vae_0_two	MEP_HPCA_2	-1.2396317278034985	-0.7515952448298733
1807	real	vae_1_two	NK-cells_FANTOM_2	-0.1871224120259285	-0.7509515577852773
946	real	vae_0_two	ly-Endothelial-cells_HPCA_2	-0.47594986483454704	-0.7495146953211116
1027	real	vae_1_three	CD4+-Tem_BLUEPRINT_2	-0.4952215105295181	-0.7467407689136049
562	real	vae_0_two	CD4+-naive-T-cells_NOVERSHTERN_2	-0.42442357540130615	-0.7461050062894075
1094	real	vae_1_three	CMP_BLUEPRINT_3	-1.1713919648900628	-0.7455853603802405
1458	real	vae_1_three	pDC_NOVERSHTERN_1	-0.4266658630222082	-0.7441663443060036
1251	real	vae_1_three	Macrophages_BLUEPRINT_1	-2.7894158569397405	-0.7360261890112966
1720	real	vae_1_two	MPP_NOVERSHTERN_2	0.0	-0.7358133724661353
1423	real	vae_1_three	cDC_HPCA_2	-0.24498816300183535	-0.7344549723303356
907	real	vae_0_two	Smooth-muscle_HPCA_2	-0.5981599371880293	-0.7275220392301627
483	real	vae_0_three	pro-B-cells_HPCA_1	-1.50725919008255	-0.72604621832363
1795	real	vae_1_two	Monocytes_NOVERSHTERN_2	-0.7098648846149445	-0.7249236039299504
1276	real	vae_1_three	Melanocytes_FANTOM_2	-5.456214809906669	-0.7198833180983286
1253	real	vae_1_three	Macrophages_BLUEPRINT_3	-2.4379168859450147	-0.7198581784782292
9	real	vae_0_three	Astrocytes_ENCODE_1	-1.8959508510306478	-0.7188798792558594
1868	real	vae_1_two	Preadipocytes_FANTOM_3	-0.3325456529855728	-0.7113681238965699
1808	real	vae_1_two	NK-cells_FANTOM_3	-0.23987530916929245	-0.7110541258761216
178	real	vae_0_three	Epithelial-cells_HPCA_2	-0.35173587687313557	-0.7095150371092792
473	real	vae_0_three	naive-B-cells_HPCA_3	-1.0412563979625702	-0.7037418352683888
456	real	vae_0_three	ly-Endothelial-cells_HPCA_1	-0.4837683066725731	-0.7002717436014233
1676	real	vae_1_two	GMP_NOVERSHTERN_3	-0.34378959238529205	-0.6983174351920672
2373	real	vae_2	Smooth-muscle_HPCA_1	-0.38246500631794333	-0.6939537818227309
1914	real	vae_1_two	cDC_NOVERSHTERN_1	0.0	-0.6933329800870286
122	real	vae_0_three	CMP_NOVERSHTERN_3	-0.6021798364818097	-0.6895426189815266
273	real	vae_0_three	Macrophages_BLUEPRINT_1	-1.9158807531930506	-0.6890544277894978
787	real	vae_0_two	Melanocytes_FANTOM_2	-5.916758022736758	-0.6834692787044679
792	real	vae_0_two	Memory-B-cells_HPCA_1	-1.1806397140026093	-0.6824095525778254
1487	real	vae_1_two	B-cells_HPCA_3	-0.01900484226644039	-0.6810411429227157
1447	real	vae_1_three	naive-B-cells_BLUEPRINT_2	-1.1602403782308102	-0.6798963994813574
821	real	vae_0_two	Myocytes_ENCODE_3	-7.521794783184305	-0.678929094801874
2116	real	vae_2	Endothelial-cells_HPCA_2	-0.48713385313749313	-0.6769658885391302
881	real	vae_0_two	Plasma-cells_IRIS_3	-0.8713864092715085	-0.6766824342343217
1566	real	vae_1_two	CD8+-Tem_BLUEPRINT_1	-0.20158567279577255	-0.6753157528923657
584	real	vae_0_two	CD8+-Tcm_HPCA_3	-2.1236984645947814	-0.6677974834906738
1174	real	vae_1_three	Fibroblasts_FANTOM_2	-0.22701572626829147	-0.6664312893288499
1142	real	vae_1_three	Eosinophils_BLUEPRINT_3	-1.8723125993274152	-0.6621564737857625
1649	real	vae_1_two	Erythrocytes_BLUEPRINT_3	-0.5994028298882768	-0.661806282831268
76	real	vae_0_three	CD8+-T-cells_BLUEPRINT_2	-1.7688095108023845	-0.6591365262719183
161	real	vae_0_three	Endothelial-cells_HPCA_3	-2.7687821947038174	-0.6573191477140783
1093	real	vae_1_three	CMP_BLUEPRINT_2	-1.12873297277838	-0.6559064684496635
1563	real	vae_1_two	CD8+-Tcm_NOVERSHTERN_1	-1.0147669091820717	-0.6545631187421357
91	real	vae_0_three	CD8+-Tcm_BLUEPRINT_2	-1.4020813629031181	-0.6477690154471984
581	real	vae_0_two	CD8+-Tcm_BLUEPRINT_3	-0.7530828937888145	-0.6459860950944322
1504	real	vae_1_two	CD4+-T-cells_HPCA_2	-0.22953347559086978	-0.6394406074209122
2396	real	vae_2	aDC_HPCA_3	-0.8332610130310059	-0.6383793883929384
555	real	vae_0_two	CD4+-naive-T-cells_HPCA_1	-1.2348458841443062	-0.637132792133996
1651	real	vae_1_two	Erythrocytes_FANTOM_2	-0.6537995710968971	-0.6266790135317004
49	real	vae_0_three	CD4+-Tem_BLUEPRINT_2	-0.2329698884859681	-0.6263527834570225
1762	real	vae_1_two	Melanocytes_ENCODE_2	-0.02907195151783523	-0.6260263480575872
2226	real	vae_2	Macrophages-M2_HPCA_1	-3.1079357457347214	-0.6242448669279335
1634	real	vae_1_two	Eosinophils_FANTOM_3	-0.9282154400134459	-0.6235674308365955
2103	real	vae_2	DC_IRIS_1	-0.3490569591522217	-0.6211194551279302
1674	real	vae_1_two	GMP_NOVERSHTERN_1	-0.34378959238529205	-0.6179712283627482
287	real	vae_0_three	Mast-cells_FANTOM_3	-2.312815915327519	-0.6176545009608796
1016	real	vae_1_three	CD4+-T-cells_HPCA_3	-0.873980512842536	-0.6132410013476001
1866	real	vae_1_two	Preadipocytes_FANTOM_1	-0.09585271030664447	-0.6099515456684127
19	real	vae_0_three	B-cells_HPCA_2	-0.4131026864051819	-0.6078114035907478
943	real	vae_0_two	ly-Endothelial-cells_FANTOM_2	-1.811603371053934	-0.6042753726120479
602	real	vae_0_two	CLP_BLUEPRINT_3	-1.1787704126909375	-0.602428636624046
2328	real	vae_2	Osteoblast_FANTOM_1	-2.0093304372858256	-0.6001728387994055
140	real	vae_0_three	DC_BLUEPRINT_3	-0.1421997845172882	-0.5999028215280082
650	real	vae_0_two	Endothelial-cells_HPCA_3	-3.1713819466531277	-0.5979250932124631
239	real	vae_0_three	MEP_HPCA_3	-0.31012434512376785	-0.5963603226581906
2372	real	vae_2	Smooth-muscle_FANTOM_3	-3.68521693861112	-0.5911850774842914
2117	real	vae_2	Endothelial-cells_HPCA_3	-2.83107541926438	-0.5909371149484779
1556	real	vae_1_two	CD8+-T-cells_NOVERSHTERN_3	-1.061123519204557	-0.5897713222457723
1602	real	vae_1_two	Class-switched-memory-B-cells_NOVERSHTERN_1	-0.29624534398317337	-0.5890681149456642
20	real	vae_0_three	B-cells_HPCA_3	-0.2542642131447792	-0.5887426656118971
1048	real	vae_1_three	CD4+-naive-T-cells_IRIS_2	-0.40327211655676365	-0.5852551253224045
1531	real	vae_1_two	CD4+-naive-T-cells_FANTOM_2	-0.9811952104791999	-0.5852408623869181
396	real	vae_0_three	Preadipocytes_ENCODE_1	-1.310504512861371	-0.5844257732235157
202	real	vae_0_three	GMP_BLUEPRINT_2	-3.2705581402406096	-0.5836925151621892
2224	real	vae_2	Macrophages-M2_BLUEPRINT_2	-0.6509344689548016	-0.5805722893747335
1817	real	vae_1_two	NK-cells_NOVERSHTERN_3	-0.22405240312218666	-0.57950974252273
1675	real	vae_1_two	GMP_NOVERSHTERN_2	-0.34378959238529205	-0.5794810883093005
68	real	vae_0_three	CD4+-naive-T-cells_HPCA_3	-0.7525269314646721	-0.5790964046648408
378	real	vae_0_three	Pericytes_ENCODE_1	-0.9595887176692486	-0.5785841281702339
1573	real	vae_1_two	CD8+-Tem_NOVERSHTERN_2	-0.35297197848558426	-0.5747244556786654
1657	real	vae_1_two	Erythrocytes_NOVERSHTERN_2	-0.4322863935958594	-0.5738206921280853
912	real	vae_0_two	Th1-cells_IRIS_1	-0.9542649164795876	-0.5705258536190554
1787	real	vae_1_two	Monocytes_FANTOM_3	-2.28564927628031	-0.5696604196320912
342	real	vae_0_three	NK-cells_HPCA_1	-0.9532874953001738	-0.5685880928337517
1583	real	vae_1_two	CMP_BLUEPRINT_3	-0.576954947784543	-0.5677625655806439
2371	real	vae_2	Smooth-muscle_FANTOM_2	-1.387109741102904	-0.5642434679891738
1541	real	vae_1_two	CD4+-naive-T-cells_NOVERSHTERN_3	-0.7365042576566339	-0.5589529827065522
2425	real	vae_2	naive-B-cells_BLUEPRINT_2	-0.8333972170948982	-0.5586998558050718
1068	real	vae_1_three	CD8+-Tcm_BLUEPRINT_1	-0.43791088834404945	-0.5565437679343109
109	real	vae_0_three	CD8+-naive-T-cells_HPCA_2	-0.6415248261764646	-0.5559510386536692
1239	real	vae_1_three	Macrophages-M1_BLUEPRINT_1	-0.7227341961115599	-0.5504677073234077
453	real	vae_0_three	ly-Endothelial-cells_FANTOM_1	-0.33984965831041336	-0.5474420733795893
1553	real	vae_1_two	CD8+-T-cells_IRIS_3	-0.36583518935367465	-0.5431957424478884
1076	real	vae_1_three	CD8+-Tcm_NOVERSHTERN_3	-0.6289436258375645	-0.5399357506691468
452	real	vae_0_three	iDC_HPCA_3	-0.2787303030490875	-0.536667652818365
611	real	vae_0_two	CMP_NOVERSHTERN_3	-0.6746947579085827	-0.5347115200119396
2426	real	vae_2	naive-B-cells_BLUEPRINT_3	-0.5679229497909546	-0.5336492384357336
275	real	vae_0_three	Macrophages_BLUEPRINT_3	-2.295337151037529	-0.5326421588315344
1704	real	vae_1_two	MEP_HPCA_1	-0.33494307356886566	-0.5290205892374609
2293	real	vae_2	NK-cells_BLUEPRINT_2	-1.6894106534309685	-0.5269868275095481
2352	real	vae_2	Preadipocytes_ENCODE_1	-1.0261590040754527	-0.5040834238071841
566	real	vae_0_two	CD8+-T-cells_BLUEPRINT_3	-0.9205294917337596	-0.4993525019317555
1247	real	vae_1_three	Macrophages-M2_BLUEPRINT_3	-1.08502454997506	-0.4948432701154794
1384	real	vae_1_three	Skeletal-muscle_ENCODE_2	-0.38860443769954145	-0.4930539434404965
