algorithm	seed	model_type	geneset_coverage	level_3	abs_top_z_score	dataset	z_dim	geneset_name
pca	451283	real	0.56	866	22.8739	tcga	50	gph
pca	486191	real	0.56	867	22.8746	tcga	50	gph
pca	908341	real	0.56	868	22.8739	tcga	50	gph
pca	978124	real	0.54	869	22.8731	tcga	50	gph
vae	165158	real	0.56	1060	24.9544	tcga	50	gph
vae	451283	real	0.5	1241	25.4844	tcga	50	gph
vae	486191	real	0.5	1087	21.9219	tcga	50	gph
vae	908341	real	0.52	1248	18.0559	tcga	50	gph
vae	978124	real	0.54	1194	22.3771	tcga	50	gph
dae	165158	real	0.74	320	19.6326	tcga	125	gph
dae	451283	real	0.66	86	26.9674	tcga	125	gph
dae	486191	real	0.72	362	24.1908	tcga	125	gph
dae	908341	real	0.58	438	23.9249	tcga	125	gph
dae	978124	real	0.64	189	17.4935	tcga	125	gph
ica	165158	real	0.92	865	34.0461	tcga	125	gph
ica	451283	real	1.0	1166	33.8004	tcga	125	gph
ica	486191	real	0.88	1117	31.9796	tcga	125	gph
ica	908341	real	0.98	643	33.6126	tcga	125	gph
ica	978124	real	0.98	674	33.4029	tcga	125	gph
nmf	165158	real	0.74	1370	37.1934	tcga	125	gph
nmf	451283	real	0.76	1371	39.2546	tcga	125	gph
nmf	486191	real	0.78	1372	38.9442	tcga	125	gph
nmf	908341	real	0.8	1833	49.4036	tcga	125	gph
nmf	978124	real	0.84	1374	37.5428	tcga	125	gph
pca	165158	real	0.86	1990	22.8742	tcga	125	gph
pca	451283	real	0.86	1991	22.8742	tcga	125	gph
pca	486191	real	0.86	1992	22.8742	tcga	125	gph
pca	908341	real	0.88	1993	22.8742	tcga	125	gph
pca	978124	real	0.84	1994	22.8742	tcga	125	gph
vae	165158	real	0.64	2935	33.6157	tcga	125	gph
vae	451283	real	0.68	2901	25.7378	tcga	125	gph
vae	486191	real	0.64	2757	39.2218	tcga	125	gph
vae	908341	real	0.62	2933	28.4738	tcga	125	gph
vae	978124	real	0.76	2854	23.184	tcga	125	gph
dae	165158	real	0.42	10	16.4891	tcga	45	gph
dae	451283	real	0.52	131	19.3541	tcga	45	gph
dae	486191	real	0.46	77	16.6495	tcga	45	gph
dae	908341	real	0.48	138	18.3111	tcga	45	gph
dae	978124	real	0.46	49	23.4778	tcga	45	gph
ica	165158	real	0.66	225	24.2453	tcga	45	gph
ica	451283	real	0.58	441	25.1005	tcga	45	gph
ica	486191	real	0.68	432	24.1304	tcga	45	gph
