algorithm	seed	model_type	geneset_coverage	level_3	abs_top_z_score	dataset	z_dim	signal	geneset_name
dae	417568	real	0.164021164021164	84	40.7715	tcga	35	signal	gpc6
dae	492187	real	0.1111111111111111	85	40.108000000000004	tcga	35	signal	gpc6
dae	829725	real	0.13227513227513227	156	23.3194	tcga	35	signal	gpc6
dae	879879	real	0.1164021164021164	57	27.7477	tcga	35	signal	gpc6
dae	974789	real	0.08465608465608465	58	32.754	tcga	35	signal	gpc6
dae	980838	real	0.15343915343915343	59	24.7523	tcga	35	signal	gpc6
ica	112403	real	0.25396825396825395	450	45.8321	tcga	35	signal	gpc6
ica	230388	real	0.25925925925925924	421	38.3651	tcga	35	signal	gpc6
ica	285463	real	0.24867724867724866	592	32.8198	tcga	35	signal	gpc6
ica	390129	real	0.26455026455026454	473	32.664	tcga	35	signal	gpc6
ica	417568	real	0.25925925925925924	524	27.7612	tcga	35	signal	gpc6
ica	492187	real	0.26455026455026454	595	35.8047	tcga	35	signal	gpc6
ica	829725	real	0.25925925925925924	406	33.7212	tcga	35	signal	gpc6
ica	879879	real	0.2698412698412698	577	32.5244	tcga	35	signal	gpc6
ica	974789	real	0.25396825396825395	598	39.9971	tcga	35	signal	gpc6
ica	980838	real	0.25925925925925924	669	38.281	tcga	35	signal	gpc6
nmf	112403	real	0.25925925925925924	890	82.7121	tcga	35	signal	gpc6
nmf	230388	real	0.2698412698412698	891	68.2246	tcga	35	signal	gpc6
nmf	285463	real	0.25925925925925924	892	82.4763	tcga	35	signal	gpc6
nmf	390129	real	0.25925925925925924	893	76.6755	tcga	35	signal	gpc6
nmf	417568	real	0.25925925925925924	894	67.4439	tcga	35	signal	gpc6
nmf	492187	real	0.25925925925925924	895	80.0514	tcga	35	signal	gpc6
nmf	829725	real	0.26455026455026454	896	78.4013	tcga	35	signal	gpc6
nmf	879879	real	0.26455026455026454	897	80.1883	tcga	35	signal	gpc6
nmf	974789	real	0.2698412698412698	898	69.7622	tcga	35	signal	gpc6
nmf	980838	real	0.25925925925925924	899	84.7592	tcga	35	signal	gpc6
pca	112403	real	0.26455026455026454	1050	31.6713	tcga	35	signal	gpc6
pca	230388	real	0.26455026455026454	1051	31.6713	tcga	35	signal	gpc6
pca	285463	real	0.26455026455026454	1052	31.6713	tcga	35	signal	gpc6
pca	390129	real	0.25925925925925924	1053	31.6713	tcga	35	signal	gpc6
pca	417568	real	0.25925925925925924	1054	31.6713	tcga	35	signal	gpc6
pca	492187	real	0.25925925925925924	1055	31.6713	tcga	35	signal	gpc6
pca	829725	real	0.26455026455026454	1056	31.6713	tcga	35	signal	gpc6
pca	879879	real	0.26455026455026454	1057	31.6713	tcga	35	signal	gpc6
pca	974789	real	0.25925925925925924	1058	31.6713	tcga	35	signal	gpc6
pca	980838	real	0.26455026455026454	1059	31.6713	tcga	35	signal	gpc6
vae	112403	real	0.25396825396825395	1550	89.4377	tcga	35	signal	gpc6
vae	230388	real	0.24338624338624337	1511	22.698	tcga	35	signal	gpc6
vae	285463	real	0.23809523809523808	1592	27.5853	tcga	35	signal	gpc6
